seq,sido_cd,sido_nm,gugun_cd,gugun_nm,code_order,view_yn,store_num,sido,gugun,address,new_img_nm,p_pro_seq,p_view_yn,p_sido_cd,p_gugun_cd,p_store_nm,p_theme_cd,p_wireless_yn,p_smoking_yn,p_book_yn,p_music_yn,p_terrace_yn,p_table_yn,p_takeout_yn,p_parking_yn,p_dollar_assent,p_card_recharge,p_subway_yn,stb_store_file_renew,stb_store_theme_renew,stb_store_time_renew,stb_store_lsm,s_code,s_name,tel,dlvry_call_cntr_phno,fax,sido_code,sido_name,gugun_code,gugun_name,addr,park_info,new_state,theme_state,new_bool,search_text,ins_lat,ins_lng,in_distance,out_distance,all_search_cnt,addr_search_cnt,store_search_cnt,rowCount,store_nm,store_cd,s_biz_code,new_icon,set_user,favorites,map_desc,notice,defaultimage,etcimage,in_biz_cd,in_store_cd,in_favorites,in_user_id,in_biz_cds,in_biz_arr,in_biz_arrdata,in_scodes,in_scode_arr,in_scode_arrdata,disp,set_date,hlytag,hlytag_msg,vSal,istart,iend,open_dt,gold_card,ip_lat,ip_long,espresso,new_store,premiere_food,doro_address,cold_blew,my_siren_order_store_yn,whcroad_yn,skuNo,skuName,skuImgUrl,stock_count,store_area_name,store_area_code,is_open,ev_open_yn,option,gift_stock_yn,lat,lot,t20,t04,t03,t01,t12,t09,t06,t10,p10,p50,p20,p60,p30,p70,p40,p80,t22,t21,p90,p01,t05,t30,t36,t27,t29,t43,t48,z9999,t64,t66,p02
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1724,무교로,1522-3232,,02-3789-3955,01,서울,0119,중구,서울특별시 중구 무교동 32-2 남강건설회관빌딩,,,Z9999@T05@T08@T16@T17@T20@T21@T30@T32@T34@T36@@@T52@T56@T57@T64@T65@T69@P80@P90,0,,,,0,.06,-1,-1,-1,30,,0,3969,N,,0,,,/upload/store/2020/10/[3969]_20201029075346_wbszq.jpg,,,,,,0,,,0,,,,,,,,1,60,20201029,0,,,,,,서울특별시 중구 무교로 15 (무교동),,N,,,,,0,,A01,,,,,37.56722071682264,126.97907661254083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1047,한국프레스센터,1522-3232,,02-722-3264,01,서울,0119,중구,서울특별시 중구 태평로1가 25 프레스센터,,,Z9999@T05@T08@T16@T17@T20@T21@T30@T32@@@T52@T56@T57@T64@T65@T69@P80@P90@T09,0,,,,0,.07,-1,-1,-1,30,,0,3263,N,,0,,,/upload/store/2016/03/[3263]_20160328074259_xdpew.jpg,,,,,,0,,,0,,,,,,,,1,60,20160328,0,,,,,,서울특별시 중구 세종대로 124 (태평로1가),,N,WHCROAD,,,,0,,A01,,,,,37.56724756017782,126.9780493948243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,513,시청,1522-3232,,02-319-8504,01,서울,0119,중구,서울특별시 중구 을지로1가 50 삼성화재 삼성빌딩1층,,Y,T05@T08@T16@T17@T20@T21@T30@T32@@@T36@T43@T51@T52@@T56@T57@T64@T65@T69@T71@P80,0,,,,0,.12,-1,-1,-1,30,,0,9704,N,,0,,,/upload/store/2022/12/[9704]_20221223075102_3hoe2.jpg,,,,,,0,,,0,,,,,,,,1,60,20120502,0,,,,,,"서울특별시 중구 을지로 19, 삼성화재삼성빌딩 1층 (을지로1가)",,N,WHCROAD,,,,0,,A01,,,,,37.56629,126.979808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,179,무교동,1522-3232,,02-779-1838,01,서울,0119,중구,서울특별시 중구 무교동 45 코오롱빌딩,,N,Z9999@T05@T08@T16@T17@T20@@T30@T32@T34@@@T36@T51@T52@T56@T57@T64@T65@T69@T73@P80@T09,0,,,,0,.13,-1,-1,-1,30,,0,9237,N,,0,,,/upload/store/2021/11/[9237]_20211101080653_2anba.jpg,,,,,,0,,,0,,,,,,,,1,60,20020308,0,,,,,,서울특별시 중구 무교로 21 (무교동) 코오롱빌딩 1층,,N,WHCROAD,,,,0,,A01,,,,,37.567928021468916,126.9792065857694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,234,환구단,1522-3232,,02-778-1940,01,서울,0119,중구,서울특별시 중구 소공동 87-10,,N,Z9999@T05@T08@T12@T16@T17@T20@T21@T22@T30@T32@T34@@@@T43@T52@@T56@T57@T64@T65@T69@T71@P80@P90,0,,,,0,.26,-1,-1,-1,30,,0,9340,N,,0,,,/upload/store/2024/08/[9340]_20240819073851_1q215.png,,,,,,0,,,0,,,,,,,,1,60,20051020,0,,,,,,서울특별시 중구 소공로 112 (소공동),,N,WHCROAD,,,,0,,A01,,,,,37.56448620899717,126.97916226763291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2044,세종대로,1522-3232,,--,01,서울,0119,중구,서울특별시 중구 태평로1가 62-12 조흥금융박물관,,,T05@T08@T16@T17@T20@T21@T30@T32@T34@@T36@T51@T52@T56@T57@T64@T65@T69,0,,,,0,.28,-1,-1,-1,30,,0,4379,N,,0,,,/upload/store/2022/10/[4379]_20221027080352_zmb9d.jpg,,,,,,0,,,0,,,,,,,,1,60,20221026,0,,,,,,서울특별시 중구 세종대로 135-5 (태평로1가),,N,WHCROAD,,,,0,,A01,,,,,37.568678,126.976493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1245,을지로국제빌딩,1522-3232,,02-752-3465,01,서울,0119,중구,서울특별시 중구 다동 111 국제빌딩,,,Z9999@T05@T20@T21@T30@T32@@@@T52@T57@T64@T65@T69@P80,0,,,,0,.31,-1,-1,-1,30,,0,3464,N,,0,,,/upload/store/2018/06/[3464]_20180619020826_4ceze.jpg,,,,,,0,,,0,,,,,,,,1,60,20170725,0,,,,,,서울특별시 중구 남대문로 109 (다동),,N,WHCROAD,,,,0,,A01,,,,,37.566952,126.982219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1359,광화문우체국,1522-3232,,02-733-3593,01,서울,0118,종로구,서울특별시 종로구 서린동 154-1 광화문우체국,,,T05@T08@T16@T17@T20@T21@T30@T32@T36@@@T43@T52@@T56@T57@T64@T65@T69@T71@P90,0,,,,0,.36,-1,-1,-1,30,,0,3592,N,,0,,,/upload/store/2018/04/[3592]_20180410074916_1jjrm.jpg,,,,,,0,,,0,,,,,,,,1,60,20180410,0,,,,,,서울특별시 종로구 종로 6 (서린동),,N,,,,,0,,A01,,,,,37.57000686119245,126.9780599046084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,581,소공로,1522-3232,,02-3789-8569,01,서울,0119,중구,서울특별시 중구 소공동 70번지 삼영빌딩 1층일부,,Y,Z9999@T05@T08@T16@T17@T20@T30@T32@@@T36@T51@T52@T56@T57@T64@T65@T69,0,,,,0,.38,-1,-1,-1,30,,0,9769,N,,0,,,/upload/store/2021/04/[9769]_20210413054444_x7ko7.jpg,,,,,,0,,,0,,,,,,,,1,60,20130125,0,,,,,,"서울특별시 중구 남대문로7길 19, 삼영빌딩 1층 일부 (소공동)",,N,,,,,0,,A01,,,,,37.563883,126.980849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,994,을지로경기빌딩,1522-3232,,02-725-8981,01,서울,0119,중구,서울특별시 중구 삼각동 115 경기빌딩,,,Z9999@T05@T08@T16@T17@T20@T21@@T30@T32@T34@@@@T51@T52@T56@T57@T64@T65@T69@P80,0,,,,0,.4,-1,-1,-1,30,,0,3181,N,,0,,,/upload/store/2025/08/3181_20250820104034_f9tir.jpg,,,,,,0,,,0,,,,,,,,1,60,20151028,0,,,,,,서울특별시 중구 남대문로10길 9 (삼각동) 경기빌딩,,N,,,,,0,,A01,,,,,37.56707721942303,126.98322227123015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
